commit	metric	n_trades	mc_p	status	description
baseline	0.9016	17	0.2804	keep	baseline ADR 0054 LOCKED (lookback=20, exit=10, atr=2.0)
P1_1	1.4354	0.7867	26	0.3318	ok	phase1 lookback sweep (L5E2A2.0P14)
P1_2	1.6404	0.9522	23	0.3163	ok	phase1 lookback sweep (L10E5A2.0P14)
P1_3	1.6492	1.1131	17	0.1709	ok	phase1 lookback sweep (L15E7A2.0P14)
P1_4	1.3358	0.9016	17	0.2804	ok	phase1 lookback sweep (L20E10A2.0P14)
P1_5	1.0529	0.6899	18	0.4673	ok	phase1 lookback sweep (L30E15A2.0P14)
P1_6	1.1427	0.7962	16	0.3703	ok	phase1 lookback sweep (L40E20A2.0P14)
P1_7	-999.0000	0.2220	17	0.6482	ok	phase1 lookback sweep (L55E27A2.0P14)
P2_1	1.9229	1.1162	23	0.1339	ok	phase2 atr_mult sweep (L15E7A1.0P14)
P2_2	1.6862	1.0227	21	0.1889	ok	phase2 atr_mult sweep (L15E7A1.5P14)
P2_3	1.6492	1.1131	17	0.1709	ok	phase2 atr_mult sweep (L15E7A2.0P14)
P2_4	1.4849	1.0711	15	0.1874	ok	phase2 atr_mult sweep (L15E7A2.5P14)
P2_5	1.3360	1.0430	13	0.1899	ok	phase2 atr_mult sweep (L15E7A3.0P14)
P2_6	1.2424	1.0152	12	0.1899	ok	phase2 atr_mult sweep (L15E7A3.5P14)
P2_7	1.1678	0.9543	12	0.2304	ok	phase2 atr_mult sweep (L15E7A4.0P14)
P2_8	1.0546	0.9067	11	0.2599	ok	phase2 atr_mult sweep (L15E7A5.0P14)
P3_1	1.9229	1.1162	23	0.1339	ok	phase3 exit ratio 0.25 (L15E3A1.0P14)
P3_2	1.9229	1.1162	23	0.1339	ok	phase3 exit ratio 0.4 (L15E6A1.0P14)
P3_3	1.9229	1.1162	23	0.1339	ok	phase3 exit ratio 0.5 (L15E7A1.0P14)
P3_4	1.9229	1.1162	23	0.1339	ok	phase3 exit ratio 0.7 (L15E10A1.0P14)
P3_5	1.9229	1.1162	23	0.1339	ok	phase3 exit ratio 0.9 (L15E13A1.0P14)
P4_1	1.9491	1.1822	21	0.1349	ok	phase4 atr_period 7 (L15E3A1.0P7)
P4_2	2.0727	1.2572	21	0.1334	ok	phase4 atr_period 10 (L15E3A1.0P10)
P4_3	1.9229	1.1162	23	0.1339	ok	phase4 atr_period 14 (L15E3A1.0P14)
P4_4	1.9061	1.0843	24	0.1309	ok	phase4 atr_period 21 (L15E3A1.0P21)
P4_5	1.9184	1.0914	24	0.1299	ok	phase4 atr_period 30 (L15E3A1.0P30)
P5_1	-999.0000	0.3916	33	0.4793	ok	phase5 random perturbation #1 (L17E5A0.82P8)
P5_2	0.9213	0.4431	35	0.4628	ok	phase5 random perturbation #2 (L18E10A0.69P14)
P5_3	1.8775	1.1133	22	0.1439	ok	phase5 random perturbation #3 (L14E4A1.11P7)
P5_4	2.1955	1.1283	30	0.1769	ok	phase5 random perturbation #4 (L9E3A1.14P11)
P5_5	2.5766	1.2704	33	0.1319	ok	phase5 random perturbation #5 (L11E5A0.61P13)
